geneID.day11,log2FC.day11,FDR.day11,geneID.day31,log2FC.day31,FDR.day31
,,,AC093846.1,1.28,3.34E-02
,,,LRRC20,0.79,3.34E-02
,,,ATP6V1G2,0.82,3.34E-02
,,,DAB1,0.78,3.34E-02
,,,snoU109.5,1.17,3.34E-02
,,,SPOPL,-0.78,3.35E-02
,,,C6orf176,-0.88,3.35E-02
,,,ATP1B1,-0.90,3.35E-02
,,,FGF13,0.84,3.35E-02
,,,GUSBP4,1.20,3.35E-02
,,,CCDC88A,0.87,3.36E-02
,,,ATP8A1,0.81,3.36E-02
,,,PSD4,-1.10,3.36E-02
,,,MARVELD1,-0.78,3.37E-02
,,,KCND3,1.03,3.38E-02
,,,ANG,-1.16,3.38E-02
,,,RP11-261N11.8,1.38,3.39E-02
,,,NCRNA00287,0.81,3.40E-02
,,,CENPP,0.86,3.40E-02
,,,AC009264.1,-0.99,3.41E-02
,,,SLC29A4,0.76,3.42E-02
,,,WWOX,0.77,3.42E-02
,,,GPR123,1.22,3.43E-02
,,,BARHL1,1.01,3.43E-02
,,,PADI2,1.03,3.43E-02
,,,LY6H,0.80,3.44E-02
,,,NRG2,1.24,3.45E-02
,,,AOX1,-1.41,3.46E-02
,,,MEGF9,0.77,3.46E-02
,,,CELF6,0.94,3.47E-02
,,,CTC-506B8.1,-1.21,3.48E-02
,,,NR2F6,-0.78,3.50E-02
,,,AC022002.4,1.34,3.50E-02
,,,AC009429.1,1.24,3.50E-02
,,,CCDC85A,1.11,3.50E-02
,,,KCNK1,-1.13,3.51E-02
,,,FLNB,-0.98,3.52E-02
,,,ZC3H12A,-1.21,3.52E-02
,,,AC026703.1,-0.76,3.52E-02
,,,SGIP1,0.77,3.53E-02
,,,ZDHHC22,1.31,3.53E-02
,,,CCRN4L,-0.89,3.53E-02
,,,DNAH11,0.88,3.53E-02
,,,SLC6A5,1.34,3.54E-02
,,,RP11-169D4.2,1.32,3.54E-02
,,,CSRNP1,-0.86,3.55E-02
,,,OTX1,0.82,3.56E-02
,,,RP11-274H2.2,-0.87,3.56E-02
,,,STBD1,-0.89,3.56E-02
,,,PLOD2,-0.89,3.56E-02
,,,TUBA1A,0.96,3.57E-02
,,,ASPN,1.09,3.59E-02
,,,TC2N,-1.01,3.62E-02
,,,AC074363.1,1.30,3.62E-02
,,,CTD-2353F22.1,0.79,3.62E-02
,,,PAQR7,-0.81,3.62E-02
,,,AC092620.2,-0.84,3.62E-02
,,,IRF4,-1.30,3.64E-02
,,,MMD2,1.33,3.64E-02
,,,ZBTB38,-0.76,3.64E-02
,,,RP4-710M3.2,1.27,3.67E-02
,,,CREB3L3,-1.82,3.67E-02
,,,DNAI1,0.85,3.67E-02
,,,IFITM3,-0.80,3.68E-02
,,,RP13-870H17.3,1.21,3.68E-02
,,,UGT3A1,-1.16,3.68E-02
,,,ITGBL1,1.32,3.68E-02
,,,AC107057.2,1.31,3.68E-02
,,,CACNA2D3,1.00,3.69E-02
,,,MEIG1,1.14,3.69E-02
,,,GAP43,0.88,3.69E-02
,,,TMEM214,-0.77,3.69E-02
,,,RP11-626E13.1,1.30,3.69E-02
,,,LPAR1,-0.78,3.70E-02
,,,RP11-674P14.1,1.25,3.71E-02
,,,RP11-318M2.3,1.19,3.71E-02
,,,FSIP2,0.79,3.72E-02
,,,SERPINF2,-1.26,3.72E-02
,,,C1orf96,0.77,3.73E-02
,,,FOSL2,-0.82,3.73E-02
,,,RELL2,0.78,3.75E-02
,,,AC010082.1,1.30,3.75E-02
,,,WNK2,0.83,3.75E-02
,,,ARHGAP10,-1.06,3.75E-02
,,,PBX3,0.87,3.78E-02
,,,BCL3,-0.85,3.78E-02
,,,SNN,0.82,3.78E-02
,,,TMEM229A,-1.17,3.79E-02
,,,MB21D2,-1.05,3.80E-02
,,,RP11-302F12.10,1.20,3.80E-02
,,,BMP5,-0.75,3.81E-02
,,,AL356356.1,-1.34,3.81E-02
,,,TMEM87B,-0.76,3.82E-02
,,,AC019117.2,-1.45,3.82E-02
,,,SLC39A1,-0.77,3.83E-02
,,,AP000708.1,1.14,3.83E-02
,,,CORO6,1.00,3.83E-02
,,,A1CF,-1.36,3.83E-02
,,,AGBL1,1.37,3.84E-02
,,,CACNG3,1.64,3.85E-02
,,,SH3D19,-0.76,3.85E-02
,,,VILL,-1.22,3.86E-02
,,,RP11-588L15.2,-1.28,3.86E-02
,,,CDK18,0.77,3.89E-02
,,,ACTA2,-0.88,3.89E-02
,,,FAM160A1,-1.18,3.89E-02
,,,KB-1107E3.1,0.78,3.89E-02
,,,CACNG7,0.80,3.89E-02
,,,AC009970.1,1.25,3.90E-02
,,,SMPD3,0.78,3.90E-02
,,,RP11-385F7.2,-1.16,3.90E-02
,,,RP1-96H9.6,-0.76,3.91E-02
,,,FAM101B,-0.79,3.93E-02
,,,C1GALT1,-0.76,3.93E-02
,,,CNNM1,1.28,3.93E-02
,,,RP11-27M24.1,-0.87,3.95E-02
,,,ULBP2,1.20,3.95E-02
,,,RP11-12A1.1,-0.80,3.96E-02
,,,GCNT1,-0.75,3.96E-02
,,,CTIF,0.82,3.96E-02
,,,FGF10,-1.31,3.97E-02
,,,TNFRSF11B,-1.24,4.01E-02
,,,ADAM23,0.76,4.03E-02
,,,RNF144B,-1.29,4.03E-02
,,,RP11-203F8.1,1.27,4.04E-02
,,,HOXB4,-0.98,4.05E-02
,,,IGFBP3,-1.04,4.06E-02
,,,5S_rRNA.292,1.24,4.06E-02
,,,GPRC5B,0.77,4.07E-02
,,,OSMR,-0.75,4.07E-02
,,,TRIM6,-1.26,4.08E-02
,,,CRHBP,-1.46,4.10E-02
,,,MAPRE3,0.76,4.10E-02
,,,MAGI2,0.75,4.10E-02
,,,TRAM1,-0.82,4.10E-02
,,,AC007395.3,1.29,4.10E-02
,,,PDE4A,0.85,4.11E-02
,,,PIM3,-0.74,4.11E-02
,,,CSRNP3,0.81,4.12E-02
,,,STH,1.33,4.13E-02
,,,KLHL32,1.23,4.13E-02
,,,RP5-1028L10.1,1.32,4.13E-02
,,,PLXNB3,1.08,4.13E-02
,,,TMEM90A,1.27,4.14E-02
,,,SNAI2,-0.87,4.16E-02
,,,QSOX1,-0.80,4.16E-02
,,,PHF15,-0.86,4.16E-02
,,,PAK3,0.80,4.16E-02
,,,NUDT10,1.20,4.17E-02
,,,ILVBL,-0.75,4.18E-02
,,,TMEM51,-0.87,4.18E-02
,,,LMAN2,-0.77,4.18E-02
,,,AC013463.2,0.94,4.19E-02
,,,LRRC48,0.81,4.20E-02
,,,CRHR1,0.75,4.20E-02
,,,LPAR6,-1.13,4.21E-02
,,,RTN4RL2,0.87,4.22E-02
,,,GRID2,1.30,4.22E-02
,,,LRRC19,-1.30,4.22E-02
,,,GPR179,1.34,4.22E-02
,,,RP3-323N1.2,1.18,4.23E-02
,,,LYST,0.74,4.25E-02
,,,SSH3,-0.81,4.26E-02
,,,NCRNA00277,1.26,4.28E-02
,,,FAM47E,-0.85,4.28E-02
,,,NR4A1,-0.81,4.29E-02
,,,BARHL2,1.26,4.29E-02
,,,CLDN23,-1.26,4.31E-02
,,,C4orf50,1.21,4.31E-02
,,,IL1A,-1.40,4.32E-02
,,,KCNA3,1.40,4.33E-02
,,,PCP4L1,1.14,4.33E-02
,,,MKNK2,-0.83,4.33E-02
,,,RP11-118B22.6,1.26,4.33E-02
,,,C12orf40,-0.73,4.34E-02
,,,CTC-558O2.2,-0.76,4.34E-02
,,,ZNF663,1.01,4.35E-02
,,,RP11-392A14.7,1.23,4.36E-02
,,,SCEL,-1.33,4.38E-02
,,,C17orf55,-1.19,4.38E-02
,,,RP11-207N4.2,1.21,4.39E-02
,,,TRIM2,0.84,4.39E-02
,,,ZNF25,0.75,4.40E-02
,,,ONECUT2,0.90,4.40E-02
,,,RNU7-9P,1.29,4.40E-02
,,,CYP2D6,0.83,4.40E-02
,,,CLDN11,0.86,4.40E-02
,,,SEL1L2,1.22,4.40E-02
,,,VAMP3,-0.74,4.40E-02
,,,CTD-2143L24.1,1.15,4.41E-02
,,,TMEM163,0.89,4.42E-02
,,,KCNK6,-1.08,4.42E-02
,,,TNFRSF1A,-0.76,4.43E-02
,,,ZDHHC19,1.17,4.43E-02
,,,BAALC,0.79,4.44E-02
,,,MCF2L,0.80,4.47E-02
,,,AL132661.1,-0.92,4.47E-02
,,,UBE2Q2,-0.74,4.47E-02
,,,C1orf111,1.26,4.48E-02
,,,TCF21,-1.47,4.50E-02
,,,AP003419.11,-0.78,4.50E-02
,,,EZR,-0.86,4.50E-02
,,,SKOR1,1.25,4.50E-02
,,,DCT,0.85,4.50E-02
,,,DOC2B,1.02,4.50E-02
,,,FAM184B,0.73,4.50E-02
,,,SLC2A13,-0.74,4.50E-02
,,,CHST10,0.80,4.52E-02
,,,SSPO,0.73,4.52E-02
,,,RP11-12M5.3,-1.28,4.52E-02
,,,LMAN1,-0.85,4.52E-02
,,,FAM107B,-0.75,4.54E-02
,,,OPN5,1.16,4.54E-02
,,,KIF13B,-0.73,4.54E-02
,,,SOX7,-1.32,4.54E-02
,,,RHOU,-0.83,4.56E-02
,,,MTSS1,0.77,4.56E-02
,,,C3orf58,-0.74,4.56E-02
,,,RP11-597D13.9,-1.04,4.57E-02
,,,SLC24A2,1.19,4.58E-02
,,,MYH14,-0.93,4.59E-02
,,,ZNF185,-0.75,4.61E-02
,,,TMEM133,-1.15,4.62E-02
,,,ANKRD29,1.26,4.63E-02
,,,AL137061.2,1.32,4.63E-02
,,,CHDH,-1.26,4.63E-02
,,,KCNN1,0.89,4.63E-02
,,,RORA,0.73,4.64E-02
,,,LONRF2,0.74,4.64E-02
,,,DPP10,0.73,4.64E-02
,,,IQCF1,1.31,4.65E-02
,,,MANBA,-0.75,4.65E-02
,,,PAPPAS,-0.81,4.65E-02
,,,OTUD7A,1.18,4.66E-02
,,,STXBP2,-0.75,4.66E-02
,,,KIAA1217,-0.82,4.66E-02
,,,C3orf57,-1.25,4.67E-02
,,,NEGR1,0.77,4.68E-02
,,,RP11-31L22.7,-0.85,4.68E-02
,,,NFIB,0.80,4.68E-02
,,,EXPH5,-1.01,4.68E-02
,,,FSTL3,-0.74,4.68E-02
,,,ARSF,-1.31,4.68E-02
,,,SLC9A3R1,-0.73,4.70E-02
,,,HAPLN1,-0.86,4.70E-02
,,,ITGA8,-0.82,4.70E-02
,,,TMCO4,-1.09,4.70E-02
,,,TSPAN12,-0.90,4.70E-02
,,,RGS17,1.06,4.71E-02
,,,CMKLR1,-1.09,4.71E-02
,,,MMP2,-0.91,4.72E-02
,,,TOX3,0.80,4.72E-02
,,,ZNF165,-1.27,4.72E-02
,,,AC067959.1,1.29,4.74E-02
,,,SLC35A2,-0.77,4.74E-02
,,,CD74,-0.87,4.74E-02
,,,EIF4E3,0.76,4.75E-02
,,,RHOD,-1.23,4.75E-02
,,,ISG20,-1.25,4.76E-02
,,,RP11-680F20.9,0.94,4.76E-02
,,,FAT4,0.82,4.76E-02
,,,RP11-308N19.1,1.13,4.76E-02
,,,PRMT8,1.17,4.77E-02
,,,FHL1,0.77,4.78E-02
,,,CYP27A1,-0.81,4.78E-02
,,,FZD6,-0.74,4.80E-02
,,,UPP1,-0.87,4.80E-02
,,,EMP3,-0.80,4.80E-02
,,,RFPL2,1.31,4.80E-02
,,,TNFAIP3,-0.74,4.80E-02
,,,C17orf102,1.31,4.82E-02
,,,B3GALT1,1.04,4.82E-02
,,,CDH18,1.14,4.82E-02
,,,DNAH10,0.73,4.83E-02
,,,SERPINB2,-1.39,4.83E-02
,,,MMP10,-1.43,4.84E-02
,,,ADAM22,0.74,4.84E-02
,,,RP11-780O24.1,1.13,4.85E-02
,,,PDK4,-1.02,4.86E-02
,,,C9orf130,0.94,4.86E-02
,,,TMEM132E,0.92,4.88E-02
,,,ERLIN1,-0.72,4.88E-02
,,,HSD17B6,1.22,4.88E-02
,,,ODZ4,0.82,4.89E-02
,,,MDK,-0.89,4.89E-02
,,,CACNB4,0.88,4.89E-02
,,,AFF2,0.73,4.89E-02
,,,ADAMTS6,-0.80,4.90E-02
,,,RP11-473L15.2,-1.41,4.92E-02
,,,GSN,-0.83,4.92E-02
,,,RHOC,-0.78,4.93E-02
,,,RTKN,-0.72,4.96E-02
,,,NFIA,0.81,4.96E-02
,,,TMEM63C,0.73,4.96E-02
,,,AHNAK2,0.73,4.97E-02
,,,SLITRK5,0.86,4.98E-02
,,,MYL12B,-0.73,4.99E-02
,,,RP11-344N10.2,-0.80,4.99E-02
